Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:58:06.872000,NOR,4,0 days 00:01:09.211000,61.0,4.0,,,0 days 00:00:16.967000,0 days 00:00:31.466000,0 days 00:00:20.778000,0 days 01:57:14.690000,0 days 01:57:46.156000,0 days 01:58:06.934000,315.0,225.0,281.0,309.0,False,MEDIUM,15.0,False,McLaren,0 days 01:56:57.661000,2020-07-05 14:36:57.884,1,6.0,False,,False,True
0 days 01:59:15.446000,NOR,4,0 days 00:01:08.574000,62.0,4.0,,,0 days 00:00:17.202000,0 days 00:00:30.711000,0 days 00:00:20.661000,0 days 01:58:24.136000,0 days 01:58:54.847000,0 days 01:59:15.508000,301.0,235.0,277.0,300.0,False,MEDIUM,16.0,False,McLaren,0 days 01:58:06.872000,2020-07-05 14:38:07.095,1,6.0,False,,False,True
0 days 02:00:23.975000,NOR,4,0 days 00:01:08.529000,63.0,4.0,,,0 days 00:00:17.366000,0 days 00:00:30.638000,0 days 00:00:20.525000,0 days 01:59:32.874000,0 days 02:00:03.512000,0 days 02:00:24.037000,296.0,235.0,284.0,294.0,False,MEDIUM,17.0,False,McLaren,0 days 01:59:15.446000,2020-07-05 14:39:15.669,1,6.0,False,,False,True
0 days 02:01:33.077000,NOR,4,0 days 00:01:09.102000,64.0,4.0,,,0 days 00:00:16.887000,0 days 00:00:30.854000,0 days 00:00:21.361000,0 days 02:00:40.924000,0 days 02:01:11.778000,0 days 02:01:33.139000,317.0,234.0,278.0,302.0,False,MEDIUM,18.0,False,McLaren,0 days 02:00:23.975000,2020-07-05 14:40:24.198,12,5.0,False,,False,True
0 days 02:02:40.858000,NOR,4,0 days 00:01:07.781000,65.0,4.0,,,0 days 00:00:17.239000,0 days 00:00:30.124000,0 days 00:00:20.418000,0 days 02:01:50.378000,0 days 02:02:20.502000,0 days 02:02:40.920000,294.0,239.0,278.0,293.0,True,MEDIUM,19.0,False,McLaren,0 days 02:01:33.077000,2020-07-05 14:41:33.300,21,5.0,False,,False,True
0 days 02:03:48.333000,NOR,4,0 days 00:01:07.475000,66.0,4.0,,,0 days 00:00:17.323000,0 days 00:00:29.982000,0 days 00:00:20.170000,0 days 02:02:58.243000,0 days 02:03:28.225000,0 days 02:03:48.395000,299.0,239.0,279.0,299.0,True,MEDIUM,20.0,False,McLaren,0 days 02:02:40.858000,2020-07-05 14:42:41.081,1,5.0,False,,False,True
0 days 00:34:02.823000,HAM,44,0 days 00:01:15.627000,1.0,1.0,,,,0 days 00:00:32.648000,0 days 00:00:21.829000,,0 days 00:33:41.041000,0 days 00:34:03.027000,291.0,228.0,279.0,307.0,False,SOFT,4.0,False,Mercedes,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,5.0,False,,False,False
0 days 00:35:13.373000,HAM,44,0 days 00:01:10.550000,2.0,1.0,,,0 days 00:00:17.540000,0 days 00:00:31.528000,0 days 00:00:21.482000,0 days 00:34:20.382000,0 days 00:34:51.910000,0 days 00:35:13.392000,303.0,225.0,277.0,299.0,True,SOFT,5.0,False,Mercedes,0 days 00:34:02.823000,2020-07-05 13:14:03.046,1,5.0,False,,False,True
0 days 00:36:23.735000,HAM,44,0 days 00:01:10.362000,3.0,1.0,,,0 days 00:00:17.133000,0 days 00:00:31.628000,0 days 00:00:21.601000,0 days 00:35:30.525000,0 days 00:36:02.153000,0 days 00:36:23.754000,319.0,225.0,283.0,316.0,True,SOFT,6.0,False,Mercedes,0 days 00:35:13.373000,2020-07-05 13:15:13.596,1,5.0,False,,False,True
0 days 00:37:33.075000,HAM,44,0 days 00:01:09.340000,4.0,1.0,,,0 days 00:00:17.039000,0 days 00:00:31.159000,0 days 00:00:21.142000,0 days 00:36:40.793000,0 days 00:37:11.952000,0 days 00:37:33.094000,312.0,230.0,277.0,307.0,True,SOFT,7.0,False,Mercedes,0 days 00:36:23.735000,2020-07-05 13:16:23.958,1,4.0,False,,False,True
0 days 00:38:42.536000,HAM,44,0 days 00:01:09.461000,5.0,1.0,,,0 days 00:00:17.128000,0 days 00:00:31.203000,0 days 00:00:21.130000,0 days 00:37:50.222000,0 days 00:38:21.425000,0 days 00:38:42.555000,310.0,232.0,277.0,306.0,False,SOFT,8.0,False,Mercedes,0 days 00:37:33.075000,2020-07-05 13:17:33.298,1,4.0,False,,False,True
0 days 00:39:51.830000,HAM,44,0 days 00:01:09.294000,6.0,1.0,,,0 days 00:00:17.092000,0 days 00:00:31.155000,0 days 00:00:21.047000,0 days 00:38:59.647000,0 days 00:39:30.802000,0 days 00:39:51.849000,309.0,233.0,283.0,304.0,True,SOFT,9.0,False,Mercedes,0 days 00:38:42.536000,2020-07-05 13:18:42.759,1,4.0,False,,False,True
0 days 00:41:01.531000,HAM,44,0 days 00:01:09.701000,7.0,1.0,,,0 days 00:00:16.966000,0 days 00:00:31.330000,0 days 00:00:21.405000,0 days 00:40:08.815000,0 days 00:40:40.145000,0 days 00:41:01.550000,317.0,234.0,282.0,320.0,False,SOFT,10.0,False,Mercedes,0 days 00:39:51.830000,2020-07-05 13:19:52.053,1,4.0,False,,False,True
0 days 00:42:11.327000,HAM,44,0 days 00:01:09.796000,8.0,1.0,,,0 days 00:00:17.113000,0 days 00:00:31.475000,0 days 00:00:21.208000,0 days 00:41:18.663000,0 days 00:41:50.138000,0 days 00:42:11.346000,315.0,232.0,284.0,322.0,False,SOFT,11.0,False,Mercedes,0 days 00:41:01.531000,2020-07-05 13:21:01.754,1,4.0,False,,False,True
0 days 00:49:07.985000,HAM,44,0 days 00:01:09.233000,9.0,1.0,,,0 days 00:00:17.439000,0 days 00:00:30.846000,,0 days 00:49:58.778000,0 days 00:49:58.778000,,289.0,232.0,,295.0,False,SOFT,12.0,False,Mercedes,0 days 00:42:11.327000,2020-07-05 13:22:11.550,1,5.0,False,,False,False
