Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:38:42.350000,HUL,27,0 days 00:01:43.768000,3.0,1.0,,,0 days 00:00:28,0 days 00:00:41.237000,0 days 00:00:34.531000,0 days 00:37:26.604000,0 days 00:38:07.841000,0 days 00:38:42.372000,197.0,178.0,204.0,306.0,True,HARD,3.0,True,Renault,0 days 00:36:58.582000,2019-11-03 19:16:59.298,1,12.0,False,,False,True
0 days 00:40:25.745000,HUL,27,0 days 00:01:43.395000,4.0,1.0,,,0 days 00:00:27.693000,0 days 00:00:41.065000,0 days 00:00:34.637000,0 days 00:39:10.065000,0 days 00:39:51.130000,0 days 00:40:25.767000,,175.0,203.0,307.0,True,HARD,4.0,True,Renault,0 days 00:38:42.350000,2019-11-03 19:18:43.066,1,12.0,False,,False,True
0 days 00:42:09.013000,HUL,27,0 days 00:01:43.268000,5.0,1.0,,,0 days 00:00:27.751000,0 days 00:00:40.872000,0 days 00:00:34.645000,0 days 00:40:53.518000,0 days 00:41:34.390000,0 days 00:42:09.035000,195.0,176.0,204.0,318.0,True,HARD,5.0,True,Renault,0 days 00:40:25.745000,2019-11-03 19:20:26.461,1,12.0,False,,False,True
0 days 00:43:52.423000,HUL,27,0 days 00:01:43.410000,6.0,1.0,,,0 days 00:00:27.838000,0 days 00:00:41.080000,0 days 00:00:34.492000,0 days 00:42:36.873000,0 days 00:43:17.953000,0 days 00:43:52.445000,198.0,177.0,202.0,296.0,False,HARD,6.0,True,Renault,0 days 00:42:09.013000,2019-11-03 19:22:09.729,1,12.0,False,,False,True
0 days 00:45:35.764000,HUL,27,0 days 00:01:43.341000,7.0,1.0,,,0 days 00:00:27.803000,0 days 00:00:40.935000,0 days 00:00:34.603000,0 days 00:44:20.248000,0 days 00:45:01.183000,0 days 00:45:35.786000,197.0,177.0,203.0,317.0,False,HARD,7.0,True,Renault,0 days 00:43:52.423000,2019-11-03 19:23:53.139,1,12.0,False,,False,True
0 days 00:47:19.629000,HUL,27,0 days 00:01:43.865000,8.0,1.0,,,0 days 00:00:27.796000,0 days 00:00:40.996000,0 days 00:00:35.073000,0 days 00:46:03.582000,0 days 00:46:44.578000,0 days 00:47:19.651000,195.0,178.0,203.0,322.0,False,HARD,8.0,True,Renault,0 days 00:45:35.764000,2019-11-03 19:25:36.480,12,11.0,False,,False,True
0 days 00:49:02.722000,HUL,27,0 days 00:01:43.093000,9.0,1.0,,,0 days 00:00:27.851000,0 days 00:00:41.089000,0 days 00:00:34.153000,0 days 00:47:47.502000,0 days 00:48:28.591000,0 days 00:49:02.744000,,178.0,201.0,319.0,True,HARD,9.0,True,Renault,0 days 00:47:19.629000,2019-11-03 19:27:20.345,21,10.0,False,,False,True
0 days 00:50:45.984000,HUL,27,0 days 00:01:43.262000,10.0,1.0,,,0 days 00:00:28.005000,0 days 00:00:41.005000,0 days 00:00:34.252000,0 days 00:49:30.749000,0 days 00:50:11.754000,0 days 00:50:46.006000,193.0,179.0,202.0,291.0,False,HARD,10.0,True,Renault,0 days 00:49:02.722000,2019-11-03 19:29:03.438,1,10.0,False,,False,True
0 days 00:52:29.447000,HUL,27,0 days 00:01:43.463000,11.0,1.0,,,0 days 00:00:27.813000,0 days 00:00:41.343000,0 days 00:00:34.307000,0 days 00:51:13.819000,0 days 00:51:55.162000,0 days 00:52:29.469000,197.0,179.0,203.0,291.0,False,HARD,11.0,True,Renault,0 days 00:50:45.984000,2019-11-03 19:30:46.700,1,10.0,False,,False,True
0 days 00:54:12.654000,HUL,27,0 days 00:01:43.207000,12.0,1.0,,,0 days 00:00:27.762000,0 days 00:00:41.235000,0 days 00:00:34.210000,0 days 00:52:57.231000,0 days 00:53:38.466000,0 days 00:54:12.676000,199.0,181.0,203.0,294.0,False,HARD,12.0,True,Renault,0 days 00:52:29.447000,2019-11-03 19:32:30.163,1,10.0,False,,False,True
