Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:36:04.851000,GAS,10,0 days 00:02:27.729000,1.0,1.0,,0 days 00:36:03.087000,,0 days 00:01:15.022000,0 days 00:00:35.311000,,0 days 00:35:29.566000,0 days 00:36:05.018000,97.0,175.0,,254.0,False,MEDIUM,4.0,False,AlphaTauri,0 days 00:33:36.921000,2020-11-29 14:13:36.973,15,8.0,False,,False,False
0 days 01:58:35.887000,GAS,10,,2.0,2.0,0 days 01:55:23.556000,,,0 days 00:01:17.873000,0 days 00:01:00.604000,,0 days 01:57:35.309000,0 days 01:58:36.134000,78.0,50.0,52.0,193.0,False,HARD,1.0,True,AlphaTauri,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,9.0,False,,False,False
0 days 02:01:34.784000,GAS,10,,3.0,2.0,,,0 days 00:01:22.138000,0 days 00:01:04.647000,0 days 00:00:32.084000,0 days 01:59:58.273000,0 days 02:01:02.749000,0 days 02:01:34.965000,235.0,194.0,252.0,269.0,False,HARD,2.0,True,AlphaTauri,0 days 01:58:35.887000,2020-11-29 15:38:35.939,124,10.0,False,,False,False
0 days 02:03:53.606000,GAS,10,0 days 00:02:18.822000,4.0,2.0,,,0 days 00:00:39.795000,0 days 00:01:05.579000,0 days 00:00:33.448000,0 days 02:02:14.605000,0 days 02:03:20.184000,0 days 02:03:53.632000,197.0,111.0,194.0,198.0,True,HARD,3.0,True,AlphaTauri,0 days 02:01:34.784000,2020-11-29 15:41:34.836,4,10.0,False,,False,False
0 days 02:06:24.946000,GAS,10,,5.0,2.0,,,0 days 00:00:41.948000,0 days 00:01:07.178000,0 days 00:00:42.229000,0 days 02:04:35.572000,0 days 02:05:42.768000,0 days 02:06:25.138000,162.0,200.0,148.0,263.0,False,HARD,4.0,True,AlphaTauri,0 days 02:03:53.606000,2020-11-29 15:43:53.658,4,9.0,False,,False,False
0 days 02:08:42.747000,GAS,10,0 days 00:02:17.801000,6.0,2.0,,,0 days 00:00:37.826000,0 days 00:01:02.392000,0 days 00:00:37.583000,0 days 02:07:02.798000,0 days 02:08:05.190000,0 days 02:08:42.773000,119.0,146.0,140.0,262.0,True,HARD,5.0,True,AlphaTauri,0 days 02:06:24.946000,2020-11-29 15:46:24.998,4,9.0,False,,False,False
0 days 02:11:00.956000,GAS,10,0 days 00:02:18.209000,7.0,2.0,,,0 days 00:00:41.538000,0 days 00:00:58.178000,0 days 00:00:38.493000,0 days 02:09:24.311000,0 days 02:10:22.489000,0 days 02:11:00.982000,120.0,76.0,152.0,239.0,False,HARD,6.0,True,AlphaTauri,0 days 02:08:42.747000,2020-11-29 15:48:42.799,4,9.0,False,,False,False
0 days 02:13:28.268000,GAS,10,0 days 00:02:27.312000,8.0,2.0,,,0 days 00:00:46.259000,0 days 00:00:59.889000,0 days 00:00:41.164000,0 days 02:11:47.241000,0 days 02:12:47.130000,0 days 02:13:28.294000,94.0,105.0,290.0,264.0,False,HARD,7.0,True,AlphaTauri,0 days 02:11:00.956000,2020-11-29 15:51:01.008,41,9.0,False,,False,False
0 days 02:15:06.748000,GAS,10,0 days 00:01:38.480000,9.0,2.0,,,0 days 00:00:31.615000,0 days 00:00:42.702000,0 days 00:00:24.163000,0 days 02:13:59.909000,0 days 02:14:42.611000,0 days 02:15:06.774000,240.0,243.0,288.0,317.0,True,HARD,8.0,True,AlphaTauri,0 days 02:13:28.268000,2020-11-29 15:53:28.320,1,10.0,False,,False,True
0 days 02:16:44.175000,GAS,10,0 days 00:01:37.427000,10.0,2.0,,,0 days 00:00:31.034000,0 days 00:00:42.462000,0 days 00:00:23.931000,0 days 02:15:37.808000,0 days 02:16:20.270000,0 days 02:16:44.201000,234.0,250.0,287.0,306.0,True,HARD,9.0,True,AlphaTauri,0 days 02:15:06.748000,2020-11-29 15:55:06.800,1,10.0,False,,False,True
